web-scraper-order,web-scraper-start-url,voiturelink,voiturelink-href,marque,annee,prix,adresse,propriétaire,pages,pages-href
"1716698825-79","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Hilux 2018","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/hilux/annonce-135761","Toyota Hilux 2018 Dakar","  2018","30 000 F CFA","Hann Bel-Air 

Dakar","PAPIEX .","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698829-80","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Edge 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-135787","Ford Edge 2014 Dakar","  2014","30 000 F CFA","Médina 

Dakar","Cheikh .","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698836-81","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fusion 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fusion/annonce-135835","Ford Fusion 2016 Dakar","  2016","35 000 F CFA","Dieuppeul Derklé 

Dakar","Lendom Zefff","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698843-82","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135862","Hyundai Elantra 2014 Dakar","  2014","25 000 F CFA","Amitié 

Dakar","peezy .","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698869-83","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Flex-limited 2019","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/flex-limited/annonce-135869","Ford Flex-limited 2019 Dakar","  2019","55 000 F CFA","Hann Maristes 

Dakar","DIOP .","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698880-84","https://dakar-auto.com/senegal/location-de-voitures-19","Chevrolet Cruze 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chevrolet/cruze/annonce-135926","Chevrolet Cruze 2016 Dakar","  2016","25 000 F CFA","Almadies 

Dakar","Moustapha SAMBA","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698885-85","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Tucson 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/tucson/annonce-135942","Hyundai Tucson 2015 Dakar","  2015","35 000 F CFA","Liberté 2 

Dakar","SEN BAZAR","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698898-86","https://dakar-auto.com/senegal/location-de-voitures-19","Toyota Corolla 2010","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/toyota/corolla/annonce-136001","Toyota Corolla 2010 Dakar","1 km","3 000 000 F CFA","Fann 

Dakar","KONTE SERVICES","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698901-87","https://dakar-auto.com/senegal/location-de-voitures-19","Hyundai Elantra 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/hyundai/elantra/annonce-135357","Hyundai Elantra 2014 Dakar","  2014","30 000 F CFA","Fann 

Dakar","KONTE SERVICES","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698905-88","https://dakar-auto.com/senegal/location-de-voitures-19","Fiat Freemont 2015","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/fiat/freemont/annonce-136060","Fiat Freemont 2015 Dakar","  2015","50 000 F CFA","Guédiawaye 

Dakar","Fall .","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698920-89","https://dakar-auto.com/senegal/location-de-voitures-19","Mercedes ML 350 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/mercedes/ml-350/annonce-134992","Mercedes ML 350 2014 Dakar","  2014","40 000 F CFA","Ouakam 

Dakar","LOCA VOITURE DAKAR","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698925-90","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Edge 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/edge/annonce-136108","Ford Edge 2014 Dakar","  2014","40 000 F CFA","Ouakam 

Dakar","VPS SERVICES","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698928-91","https://dakar-auto.com/senegal/location-de-voitures-19","Ford Fiesta 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/ford/fiesta/annonce-136149","Ford Fiesta 2014 Dakar","  2014","25 000 F CFA","Grand-Dakar 

Dakar","Feudze Immo & services","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698932-92","https://dakar-auto.com/senegal/location-de-voitures-19","Chrysler 200s 2017","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/chrysler/200s/annonce-136153","Chrysler 200s 2017 Dakar","  2017","35 000 F CFA","VDN 

Dakar","ahmed cheikhouna","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698936-93","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136151","Kia Sportage 2016 Dakar","  2016","30 000 F CFA","Dalifort 

Dakar","Caroline ,","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698938-94","https://dakar-auto.com/senegal/location-de-voitures-19","Volkswagen Jetta 2014","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/volkswagen/jetta/annonce-136169","Volkswagen Jetta 2014 Dakar","  2014","20 000 F CFA","Yoff 

Dakar","A vos services","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
"1716698943-95","https://dakar-auto.com/senegal/location-de-voitures-19","Kia Sportage 2016","https://dakar-auto.com/senegal/location-de-voitures/occasion/location-de-voitures-1/kia/sportage/annonce-136057","Kia Sportage 2016 Dakar","  2016","30 000 F CFA","Yoff 

Dakar","A vos services","4","https://dakar-auto.com/senegal/location-de-voitures-19?&page=4"
